step,elapsed_seconds,sensor_id,congestion
1,300,1202451,0.0
1,300,1202464,0.0
1,300,1202475,0.0
1,300,1202522,0.0
1,300,1202527,0.0
1,300,1202537,0.0
1,300,1202549,0.0
1,300,1202564,0.0
1,300,1202574,0.0
1,300,1202590,0.0
1,300,1202595,0.0
1,300,1202599,0.0
1,300,1202610,0.0
1,300,1202614,0.0
1,300,1202627,0.0
1,300,1202631,0.0
1,300,1202648,0.0
1,300,1202663,0.0
1,300,1202676,0.0
1,300,1202691,0.0
1,300,1202701,0.0
1,300,1202705,0.0
1,300,1202720,0.0
1,300,1202724,0.0
1,300,1202738,0.0
1,300,1202742,0.0
1,300,1202753,0.0
1,300,1202766,0.0
1,300,1202779,0.0
1,300,1202785,0.0
1,300,1202789,0.0
1,300,1202803,0.0
1,300,1202814,0.0
1,300,1202827,0.0
1,300,1202840,0.0
1,300,1202844,0.0
1,300,1202855,0.0
1,300,1202859,0.0
1,300,1202872,0.0
1,300,1202885,0.0
1,300,1202901,0.0
1,300,1202912,0.0
1,300,1202917,0.0
1,300,1202921,0.0
1,300,1202929,0.0
1,300,1202938,0.0
1,300,1202949,0.0
1,300,1202960,0.0
1,300,1202964,0.0
1,300,1202977,0.0
1,300,1202981,0.0
1,300,1202993,0.0
1,300,1203016,0.0
1,300,1203021,0.0
1,300,1203035,0.0
1,300,1203040,0.0
1,300,1203050,0.0
1,300,1203057,0.0
1,300,1203071,0.0
1,300,1203076,0.0
1,300,1203082,0.0
1,300,1203084,0.0
1,300,1203090,0.0
1,300,1203095,0.0
1,300,1203110,0.0
1,300,1203124,0.0
1,300,1203136,0.0
1,300,1203148,0.0
1,300,1203172,0.0
1,300,1203184,0.0
1,300,1203188,0.0
1,300,1203206,0.0
1,300,1203221,0.0
1,300,1203239,0.0
1,300,1203254,0.0
1,300,1203266,0.0
1,300,1203271,0.0
1,300,1203284,0.0
1,300,1203288,0.0
1,300,1203303,0.0
1,300,1203317,0.0
1,300,1203331,0.0
1,300,1203342,0.0
1,300,1203361,0.0
1,300,1203387,0.0
1,300,1203400,0.0
1,300,1203428,0.0
1,300,1203440,0.0
1,300,1203468,0.0
1,300,1203481,0.0
1,300,1203495,0.0
1,300,1203506,0.0
1,300,1203513,0.0
1,300,1203524,0.0
1,300,1203536,0.0
1,300,1203549,0.0
1,300,1203561,0.0
1,300,1203573,0.0
1,300,1203589,0.0
2,600,1201054,0.6723999977111816
2,600,1201066,0.17264176905155182
2,600,1201076,0.20044951140880585
2,600,1201087,0.16117286682128906
2,600,1201100,0.0
2,600,1201112,0.16622579097747803
2,600,1201118,0.10464129596948624
2,600,1201125,0.06000696122646332
2,600,1201145,0.0033993436954915524
2,600,1201159,0.16779889166355133
2,600,1201171,0.01086922362446785
2,600,1201185,0.017868969589471817
2,600,1201197,0.0
2,600,1201211,0.015336963348090649
2,600,1201217,0.0
2,600,1201222,0.007101758383214474
2,600,1201240,0.0
2,600,1201254,0.0
2,600,1201270,0.0
2,600,1201283,0.0
2,600,1201292,0.0
2,600,1201298,0.0
2,600,1201315,0.0
2,600,1201333,0.0
2,600,1201350,0.0
2,600,1201365,0.0
2,600,1201382,0.0
2,600,1201399,0.0
2,600,1201406,0.0
2,600,1201410,0.0
2,600,1201419,0.0
2,600,1201430,0.0
2,600,1201453,0.0
2,600,1201469,0.0
2,600,1201481,0.0
2,600,1201497,0.0
2,600,1201510,0.0
2,600,1201525,0.0
2,600,1201541,0.0
2,600,1201558,0.0
2,600,1201589,0.0
2,600,1201606,0.0
2,600,1201620,0.0
2,600,1201637,0.0
2,600,1201653,0.0
2,600,1201671,0.0
2,600,1201687,0.0
2,600,1201705,0.0
2,600,1201719,0.0
2,600,1201735,0.0
2,600,1201751,0.0
2,600,1201767,0.0
2,600,1201787,0.0
2,600,1201805,0.0
2,600,1201823,0.0
2,600,1201839,0.0
2,600,1201853,0.0
2,600,1201867,0.0
2,600,1201883,0.0
2,600,1201899,0.0
2,600,1201911,0.0
2,600,1201923,0.0
2,600,1201941,0.0
2,600,1201959,0.0
2,600,1201969,0.0
